ticker,variant,kind,note,out_of_market_ticker,start,end,observations,long_window,short_window,entry_days_long,entry_days_short,exit_days_long,exit_days_short,window,entry_days,exit_days,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
QQQM,hybridL200_S20_eL3_eS2_xL2_xS1_SHY,hybrid,"Same signals, park in SHY instead of cash when out.",SHY,2020-10-13,2026-03-26,1369,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.14446663224760603,0.1465726411648352,0.15237299100393858,0.9619332153232234,0.9619332153232234,-0.17850491549217745,6.954402157295739,2.081439809260492,1.081439809260492
QQQM,hybridL200_S20_eL2_eS2_xL2_xS1_SHY,hybrid,Faster bull entry plus SHY parking asset.,SHY,2020-10-13,2026-03-26,1369,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.14437452183099464,0.14649214241676523,0.1523732180185674,0.9614034823292532,0.9614034823292532,-0.1785049154921773,6.95440219379862,2.0805299066532834,1.0805299066532834
QQQM,baseline_buyhold,baseline,total return buy and hold,,2020-10-13,2026-03-26,1369,,,,,,,,,,0.13788427255268676,0.15383094836402186,0.22216053082686332,0.6924314944309671,0.6924314944309671,-0.3504382030721224,12.985520861575644,2.017228642655874,1.017228642655874
SCHG,hybridL200_S20_eL2_eS2_xL2_xS1_SHY,hybrid,Faster bull entry plus SHY parking asset.,SHY,2010-01-04,2026-03-26,4082,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.14032596546971243,0.1445395969675986,0.1623136252290249,0.8904957717730284,0.8904957717730284,-0.32022041576773763,8.238055184471408,8.390338745562383,7.390338745562383
SCHG,hybridL200_S20_eL3_eS2_xL2_xS1_SHY,hybrid,"Same signals, park in SHY instead of cash when out.",SHY,2010-01-04,2026-03-26,4082,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.13705684730697998,0.14162905379420135,0.16207740462169784,0.8738358941813967,0.8738358941813967,-0.32022041576773774,8.485814564901558,8.00908195792568,7.00908195792568
SCHG,hybridL200_S20_eL3_eS2_xL2_xS1,hybrid,Current zero-cash benchmark.,,2010-01-04,2026-03-26,4082,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.13426799327169214,0.13915740181240924,0.16198745449083315,0.8590628345251523,0.8590628345251523,-0.3259970719595788,8.684282900846576,7.696745435418097,6.696745435418097
SCHG,hybridL150_S20_eL3_eS2_xL2_xS1_SHY,hybrid,Shorter long filter plus SHY parking asset.,SHY,2010-01-04,2026-03-26,4082,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.1234567663198749,0.1284732262405111,0.1548320082089927,0.8297588316951724,0.8297588316951724,-0.2736869838839155,8.615053699387994,6.590719863828339,5.590719863828339
SCHG,baseline_buyhold,baseline,total return buy and hold,,2010-01-04,2026-03-26,4082,,,,,,,,,,0.1529057847401767,0.16196968617914898,0.19797707505325823,0.8181234425025078,0.8181234425025078,-0.34591279061844454,8.903421090501585,10.0221701267396,9.0221701267396
SCHG,hybridL150_S20_eL3_eS2_xL2_xS1,hybrid,Shorter long filter benchmark.,,2010-01-04,2026-03-26,4082,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.12043284643083974,0.125758966498532,0.15471795427811635,0.812827231883324,0.812827231883324,-0.27368698388391544,8.732632789991285,6.309167956685097,5.309167956685097
SPHQ,hybridL200_S20_eL2_eS2_xL2_xS1_SHY,hybrid,Faster bull entry plus SHY parking asset.,SHY,2005-12-06,2026-03-26,5107,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.0906331652884349,0.09523277177488733,0.12992318712729964,0.7329928851081648,0.7329928851081648,-0.27886658592874247,9.309129386466125,5.802187400813392,4.802187400813392
