window,variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn
2015-08-24_2025-10-01,"set_[100, 200, 221]__x100_1_200_0_221_0",0.11305735655626048,0.11251098881508122,0.10349430867489952,0.7972514611819675,-0.14843669701375495,4.9692436700309655,2.9460254839669044
2015-08-24_2025-10-01,"set_[100, 200, 221]__x100_1_200_0_221_1",0.13819234248729684,0.13682074914620085,0.12099992130114853,0.8828166828335525,-0.12931657638011607,5.12396725790019,3.69032241157205
2015-08-24_2025-10-01,"set_[100, 200, 221]__x100_1_200_1_221_0",0.12985638306677938,0.12954583321342075,0.12163575697517048,0.8183928450722023,-0.1293165763801162,5.339550632276774,3.4265845162811277
2015-08-24_2025-10-01,"set_[100, 200, 221]__x100_1_200_1_221_1",0.15425830866365509,0.15385559354454037,0.14364146073124706,0.8622551797650818,-0.16857769720282587,6.381151780917883,4.250786040075491
2015-08-24_2025-10-01,sma100_3in_1out,0.1177430070367691,0.12116637092408421,0.13993022309628114,0.6515130820691667,-0.1717492506067183,6.140795873662308,3.073547608197251
2015-08-24_2025-10-01,sma100_3in_0out,0.07097660802096262,0.07364604663671942,0.1005204372886578,0.434200723892436,-0.15032917167175866,5.625372389419684,1.9970994493023908
2015-08-24_2025-10-01,sma200_3in_1out,0.1792052560375037,0.1766953977669938,0.15336144979574942,0.956533717973887,-0.1831800822048755,6.60667220793731,5.274046222315043
2015-08-24_2025-10-01,sma200_3in_0out,0.12720570340261728,0.1255908645719752,0.10779295799128576,0.8868006440615817,-0.167592072711251,5.386095087554786,3.346352872323939
2015-08-24_2025-10-01,baseline_buyhold,0.2059876925294737,0.21247046001118663,0.22390367350790796,0.8149507203361808,-0.3511872170313987,10.409279530198948,6.615004125322125
2019-03-13_2025-10-01,"set_[100, 200]__x100_0_200_0",0.11134654344342021,0.10922030633985533,0.08513114089896918,0.9305678921168384,-0.14383882586799424,4.180233596251296,1.99536861620352
2019-03-13_2025-10-01,"set_[100, 200]__x100_0_200_1",0.14184667984366595,0.14007703058344984,0.12147737017908555,0.906152565051178,-0.11880355934736768,4.714446198462497,2.3821290381867417
2019-03-13_2025-10-01,"set_[100, 200]__x100_1_200_0",0.13346232832320415,0.13252928372955797,0.11997671251368215,0.8545765389084612,-0.14507583700579302,4.682142732492641,2.269974617800822
2019-03-13_2025-10-01,"set_[100, 200]__x100_1_200_1",0.1641679267387195,0.16338600797315248,0.15030296863862777,0.8874475945571733,-0.16667469330771179,5.5594883695126045,2.7038539579420364
2019-03-13_2025-10-01,"set_[100, 200, 221]__x100_0_200_0_221_0",0.08611411715990913,0.08631304981412749,0.08586450099320246,0.6558362205888272,-0.14932230754485976,5.4866817176663005,1.7169453557900038
2019-03-13_2025-10-01,"set_[100, 200, 221]__x100_0_200_0_221_1",0.12833427898089966,0.126461826305893,0.10661525739189527,0.9047656842521106,-0.11529431191771544,4.246791881036703,2.203608990770431
2019-03-13_2025-10-01,"set_[100, 200, 221]__x100_0_200_1_221_0",0.10603350455495364,0.10688419930985715,0.11013383950804644,0.6980978748519883,-0.12975365410785183,5.092485203290588,1.933767959259769
2019-03-13_2025-10-01,"set_[100, 200, 221]__x100_0_200_1_221_1",0.14821776422030508,0.14703297580162272,0.13238431164869224,0.8840396142421522,-0.13693994716602853,5.773626520663142,2.4704598897841312
2019-03-13_2025-10-01,"set_[100, 200, 221]__x100_1_200_0_221_0",0.10067195937335027,0.10185236807392924,0.10855999474186181,0.6618678293489477,-0.14843669701375514,5.667018532981897,1.8732457984980453
2019-03-13_2025-10-01,"set_[100, 200, 221]__x100_1_200_0_221_1",0.14292692141573582,0.14200114456569476,0.12921942115218127,0.8667516350641395,-0.1293165763801154,5.184062484946537,2.396914587737899
2019-03-13_2025-10-01,"set_[100, 200, 221]__x100_1_200_1_221_0",0.12068646218050749,0.12242351756965891,0.12979758809411177,0.7120588211750576,-0.15791351772409595,5.796183422664883,2.1076905023355708
2019-03-13_2025-10-01,"set_[100, 200, 221]__x100_1_200_1_221_1",0.1628895465381308,0.16257229406142445,0.1521901541085558,0.8710963914713032,-0.16857769720282598,6.345401724260668,2.6844841171809053
2019-03-13_2025-10-01,sma100_3in_1out,0.13804961795063764,0.1407565732824821,0.1507925745651839,0.7344962018312432,-0.1717492506067185,6.005623211574084,2.3307691623492692
2019-03-13_2025-10-01,sma100_3in_0out,0.09238609208784254,0.09413861850307684,0.1072158237614509,0.5982197053839889,-0.15032917167175866,5.370415043154464,1.7828721634859217
2019-03-13_2025-10-01,sma200_3in_1out,0.1886202167964972,0.1860154426638229,0.1620268829891533,0.9628985004560457,-0.18318008220487508,6.128962254266571,3.097818180446446
2019-03-13_2025-10-01,sma200_3in_0out,0.1247582765939863,0.12430199417663385,0.1157458006361707,0.8147336115722921,-0.16759207271125046,6.122394764067458,2.1583086887594796
2019-03-13_2025-10-01,baseline_buyhold,0.21396121561488468,0.22416159265443006,0.24558792047308203,0.7905991153001819,-0.3511872170313982,12.305039545055276,3.556369556442793
2002-01-02_2005-09-28,"set_[100, 200]__x100_0_200_0",0.0991959189415732,0.09917956163695625,0.09585210681366926,0.7217323013195439,-0.09164051359459895,4.276285365560853,1.4246417235593731
2002-01-02_2005-09-28,"set_[100, 200]__x100_0_200_1",0.07599336755486363,0.07932938110648745,0.11025404917985342,0.44741559583011986,-0.13611099487714906,7.195876483281085,1.315326353713559
