combo,roles,growth,momentum,div1,div1_role,div2,div2_role,start,end,n_obs,sharpe,cagr,maxdd,calmar,ulcer,z_sharpe,z_cagr,z_maxdd,score,rank,avg_corr
"VUG,PDP,RSP,XLY","large_growth,momentum,broad_control,sector",VUG,PDP,RSP,broad_control,XLY,sector,2015-12-02,2026-06-23,2653,1.074307240354436,0.1425003466976822,-0.1593171856878883,0.8944442878676548,5.228884341407888,-1.0977189422451101,0.07051722532046735,-0.08369114601554359,-0.5014515614848458,4668,
"SPYG,PDP,XLI,EFA","large_growth,momentum,sector,international",SPYG,PDP,XLI,sector,EFA,international,2015-12-02,2026-06-23,2653,1.0861302036624036,0.1324534289949324,-0.14980997613644975,0.8841429149837879,4.817610059113604,-0.8879476967268618,-1.0545959498970456,0.5391027742473892,-0.5014946187271325,4669,
"SPYG,MTUM,SPHQ,SCHD","large_growth,momentum,quality,dividend_growth",SPYG,MTUM,SPHQ,quality,SCHD,dividend_growth,2015-12-02,2026-06-23,2653,1.1155987073049787,0.1354985045287076,-0.16612556087868935,0.815639109430326,5.024601431841711,-0.36509699072017665,-0.713590409297735,-0.529691063526385,-0.5015985672064287,4670,
"SPYG,PDP,DGRO,RSP","large_growth,momentum,quality,broad_control",SPYG,PDP,DGRO,quality,RSP,broad_control,2015-12-02,2026-06-23,2653,1.1124268209851396,0.13623989057945596,-0.16592916257093132,0.8210726099531551,4.99236245018972,-0.42137480590264814,-0.6305656211688186,-0.5168254933125549,-0.5023077159421628,4671,
"IWY,XMMO,GSLC,XLY","large_growth,momentum,quality,sector",IWY,XMMO,GSLC,quality,XLY,sector,2015-12-02,2026-06-23,2653,1.1011438423982522,0.14779680231695114,-0.1778177161218194,0.8311702879801834,5.980926385425461,-0.6215652665913012,0.663645603147564,-1.2956154034490228,-0.5024775902139014,4672,
"MGK,MTUM,QUAL,DGRW","large_growth,momentum,quality,dividend_growth",MGK,MTUM,QUAL,quality,DGRW,dividend_growth,2015-12-02,2026-06-23,2653,1.1179449970799968,0.14355134559465887,-0.1786167540086687,0.8036835424055012,4.8929172474875955,-0.3234674841716278,0.18821428835144047,-1.3479584106476157,-0.502894318983657,4673,
"IUSG,PDP,XLI,SPGP","large_growth,momentum,sector,multifactor",IUSG,PDP,XLI,sector,SPGP,multifactor,2015-12-02,2026-06-23,2653,1.0773660730485326,0.1414856931208721,-0.15919243651671733,0.8887714530709769,5.296937676084773,-1.043447003192389,-0.04310967412533395,-0.07551913456015641,-0.5029843103359555,4674,
"IWF,MTUM,LRGF,INDA","large_growth,momentum,multifactor,international",IWF,MTUM,LRGF,multifactor,INDA,international,2015-12-02,2026-06-23,2653,1.0809310017505795,0.12905528904818842,-0.14299676644063386,0.9025049465140643,4.515915466274821,-0.9801955564499149,-1.435139728440009,0.9854193882941,-0.5042471160242339,4675,
"VONG,MTUM,GSLC,RDVY","large_growth,momentum,quality,dividend_growth",VONG,MTUM,GSLC,quality,RDVY,dividend_growth,2015-12-02,2026-06-23,2653,1.095163587947735,0.14197410415910894,-0.16721394622523617,0.8490565970368924,5.380426433350958,-0.727671104182426,0.011585478189043576,-0.6009885113279912,-0.5048521807332281,4676,
"SPYG,PDP,OEF,GSLC","large_growth,momentum,broad_control,quality",SPYG,PDP,OEF,broad_control,GSLC,quality,2015-12-02,2026-06-23,2653,1.0898145502614465,0.14233308672632816,-0.1655559743091937,0.8597278794693674,5.4030293710334,-0.8225774545235988,0.05178646599460814,-0.49237884792557923,-0.5049268924146412,4677,
"IWY,MTUM,XLI,IMTM","large_growth,momentum,sector,international",IWY,MTUM,XLI,sector,IMTM,international,2015-12-02,2026-06-23,2653,1.1299603661225768,0.141828486917849,-0.18118201788348273,0.7827956028674887,4.833388262205217,-0.11028244216741045,-0.004721600412341636,-1.5160025393123275,-0.5056082608721183,4678,
"SPYG,SPMO,RDVY,IMTM","large_growth,momentum,dividend_growth,international",SPYG,SPMO,RDVY,dividend_growth,IMTM,international,2015-12-02,2026-06-23,2653,1.1350098999186933,0.1413951371610802,-0.18263866315720814,0.7741796546078136,4.980162723988244,-0.020690098344097595,-0.053250665270155796,-1.6114237894223193,-0.5060503473990787,4679,
"IWF,MTUM,EQWL,IMTM","large_growth,momentum,broad_control,international",IWF,MTUM,EQWL,broad_control,IMTM,international,2015-12-02,2026-06-23,2653,1.132023694244435,0.1390879048028011,-0.17817575280893527,0.7806219567482362,4.512256808579352,-0.07367343825183946,-0.3116281698333243,-1.3190695064390117,-0.5067809416033623,4680,
"IWF,PDP,LRGF,IMTM","large_growth,momentum,multifactor,international",IWF,PDP,LRGF,multifactor,IMTM,international,2015-12-02,2026-06-23,2653,1.0903598652766975,0.13732628350571097,-0.15874087658552052,0.8650971725718511,4.6534971085794465,-0.8129020959041638,-0.5089049257240778,-0.045938553816444405,-0.5068137407328265,4681,
"MGK,XMMO,GSLC,XLY","large_growth,momentum,quality,sector",MGK,XMMO,GSLC,quality,XLY,sector,2015-12-02,2026-06-23,2653,1.1042061607772233,0.14905404340734818,-0.18108358050692222,0.8231229081625672,5.931786504441451,-0.567231482090991,0.8044388849362059,-1.5095541488233177,-0.5070106903538898,4682,
