combo,start,end,n_obs,sharpe,cagr,maxdd,calmar,ulcer,z_sharpe,z_cagr,z_maxdd,blended_score,combo_rank,avg_corr
"IGM,SMH,VONG,VUG",2015-12-02,2026-06-23,2653,1.3352934770464058,0.2521258614137478,-0.1938551875214434,1.3005886746562239,6.4739279571133785,2.074848493015091,1.6035003472019493,0.7448873672542019,1.6674518241189709,40,0.9237098871634566
"SMH,SPMO,VONG,XLK",2015-12-02,2026-06-23,2653,1.3492386227442739,0.2474988388269952,-0.20977078003753966,1.1798537374113969,6.465301158158045,2.3957658461188975,1.4276929193077643,0.19044577586651681,1.6642799540250814,41,0.8637579528692688
"IYW,SMH,SPMO,VUG",2015-12-02,2026-06-23,2653,1.3504294989470271,0.24813639232303597,-0.2129252347268194,1.165368645202585,6.6654153247705406,2.4231712850538467,1.4519172748587363,0.08055600103621793,1.6632720251917879,42,0.8616175351078385
"MGC,SMH,SPMO,XMMO",2015-12-02,2026-06-23,2653,1.360603931611198,0.22131932614248884,-0.18618394199013538,1.1887132895393042,6.087989456388932,2.6573138369253404,0.4329813737528385,1.0121257736159222,1.6609764853117062,43,0.808651115481204
"DGRW,IWF,SMH,SPMO",2015-12-02,2026-06-23,2653,1.3563338174504593,0.21487663762343567,-0.17113009784990862,1.2556332306424285,5.549955703601193,2.55904639938076,0.18818626501465652,1.5365471731439813,1.6432885138235733,44,0.8222133031108555
"IYW,SMH,SPMO,VONG",2015-12-02,2026-06-23,2653,1.3483066490014066,0.24715195201458373,-0.21078987523419537,1.1725039057971296,6.6923883041830345,2.3743184870734537,1.4145126771289007,0.15494419073621776,1.6425018848226407,45,0.8621241503941154
"IGM,IUSG,SMH,SPMO",2015-12-02,2026-06-23,2653,1.3471686396437943,0.2431266109094652,-0.20261868845739003,1.1999219458011339,6.6238654670438795,2.3481296641837694,1.261566618876719,0.43959873912805986,1.6404545655805123,46,0.8653288624958823
"DGRW,IGM,SMH,XMMO",2015-12-02,2026-06-23,2653,1.3530477868949953,0.22956297723664632,-0.19244129268873542,1.1928987486482616,6.186225687365505,2.483425516607267,0.7462054975058342,0.7941423416014415,1.6244028758756721,47,0.8112864546635845
"IGM,QQQ,SMH,XMMO",2015-12-02,2026-06-23,2653,1.3444362193471404,0.25296497434296117,-0.2172750935874621,1.164261260534827,6.7792775126137155,2.285248923590049,1.6353831147985713,-0.07097732495007172,1.6190439312445815,48,0.8528464801266877
"FTEC,SMH,SPMO,XMMO",2015-12-02,2026-06-23,2653,1.3549452889236926,0.24422390937890426,-0.2207192042494221,1.1064914365263878,6.540280618666943,2.5270924198976172,1.3032593527952063,-0.19095766463275426,1.6163324828608197,49,0.8135158911832668
"FTEC,IGM,SMH,XMMO",2015-12-02,2026-06-23,2653,1.3426625660068712,0.2609550471798192,-0.22806391571614662,1.1442189193340415,7.114912526062002,2.2444321298745162,1.9389723296333912,-0.44682080700559934,1.6145436024261557,50,0.8584142852764769
"QQQ,SMH,SPMO,XMMO",2015-12-02,2026-06-23,2653,1.356052519085395,0.23621216048166982,-0.20990121345030804,1.1253491897396326,6.199868484035006,2.55257292619484,0.9988465386910499,0.18590194824135656,1.6131208143530065,51,0.8076072533260308
"DGRW,SMH,SPMO,VUG",2015-12-02,2026-06-23,2653,1.3566939511918907,0.21556660395951388,-0.17756965586306808,1.2139833402940587,5.606846415103156,2.567334098166238,0.21440208838815275,1.3122162983092203,1.6104309352614088,52,0.8188693032687865
"IGM,IWF,MGC,SMH",2015-12-02,2026-06-23,2653,1.3396171714278602,0.24007496443205278,-0.1902193183340891,1.2620955985679667,6.4487608298872,2.1743489634001567,1.1456168676106986,0.8715478793448083,1.6051691178522496,53,0.9068339025694993
"DGRW,SMH,SPMO,VONG",2015-12-02,2026-06-23,2653,1.3542223443919736,0.21459727655484206,-0.17460673616466232,1.2290320595218434,5.645659915820893,2.5104554158399557,0.17757171753787776,1.4154336878645633,1.591585960754254,54,0.821087997018746
"FTEC,IWF,SMH,SPMO",2015-12-02,2026-06-23,2653,1.3434589715050875,0.24615718377876106,-0.2119796341482023,1.1612303453956527,6.426763901942268,2.262759679117977,1.3767156615293805,0.11349729989740348,1.5670939979972833,55,0.8653052927719213
"FTEC,SMH,SPMO,VUG",2015-12-02,2026-06-23,2653,1.3441369448140135,0.24686217496492024,-0.21428818906957559,1.1520101786140367,6.490005296830594,2.2783617677938093,1.4035023661116255,0.03307560883453027,1.5668467154972985,56,0.8636018993716478
