ticker,variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,is_baseline
QQQ,hybridL200_S10_eL2_eS3_xL1_xS2,0.1096314850356583,0.11490082302357794,0.15144763985019688,0.7610526944130466,0.7610526944130466,-0.22899714439333108,8.21828275294061,2.1341074609484996,1.1341074609484996,271.0,88.0,0.5827956989247312,0.18924731182795698,False
QQQ,hybridL200_S10_eL2_eS3_xL2_xS1,0.09612131983833883,0.10296382018662541,0.1533241609164069,0.6696275493085782,0.6696275493085782,-0.23789033761303885,8.897301611943659,1.9597154711730997,0.9597154711730997,164.0,53.0,0.35268817204301073,0.11397849462365592,False
QQQ,hybridL200_S10_eL2_eS3_xL2_xS2,0.10123283995851239,0.10810098522731539,0.15551600480297498,0.6967915149455647,0.6967915149455647,-0.25420465069207937,8.955887731670789,2.012563248662451,1.0125632486624512,193.0,81.0,0.4150537634408602,0.17419354838709677,False
QQQ,hybridL200_S10_eL3_eS2_xL1_xS1,0.10472198236042525,0.11014919696579734,0.15052124971093303,0.732941963430847,0.732941963430847,-0.22529910425758906,8.45709209259416,2.084994783747761,1.0849947837477607,229.0,86.0,0.4924731182795699,0.18494623655913978,False
QQQ,hybridL200_S10_eL3_eS2_xL1_xS2,0.11622746064041821,0.1210419635707144,0.15341272173156337,0.7917472576475022,0.7917472576475022,-0.22901561834426448,8.024305263793032,2.234203842112101,1.2342038421121013,317.0,124.0,0.6817204301075269,0.26666666666666666,False
QQQ,hybridL200_S10_eL3_eS2_xL2_xS1,0.09871370160913165,0.10550282869324866,0.15496891522267375,0.6807898714204286,0.6807898714204286,-0.2511453257617153,8.719607141779825,1.9989262814323752,0.9989262814323752,170.0,57.0,0.3655913978494624,0.12258064516129032,False
QQQ,hybridL200_S10_eL3_eS2_xL2_xS2,0.1089954735626139,0.11534954608415952,0.15782438117448774,0.731930321333861,0.731930321333861,-0.2514401973210265,8.358926999082795,2.1273703065534066,1.1273703065534066,221.0,79.0,0.4752688172043011,0.16989247311827957,False
QQQ,hybridL200_S10_eL3_eS3_xL1_xS1,0.10099086635954037,0.10659065351093701,0.1487480347144649,0.715925603689768,0.715925603689768,-0.21806828990804863,8.60477998396781,2.0283413619541175,1.0283413619541175,214.0,77.0,0.46021505376344085,0.16559139784946236,False
QQQ,hybridL200_S10_eL3_eS3_xL1_xS2,0.10724735602042924,0.11273620529922333,0.15094623425381223,0.7503000971450591,0.7503000971450591,-0.23485274441423823,8.50942823609692,2.0969131443978273,1.0969131443978275,260.0,97.0,0.5591397849462365,0.2086021505376344,False
QQQ,hybridL200_S10_eL3_eS3_xL2_xS1,0.09500465613710814,0.10194428523838833,0.15324016678940894,0.6637256199634075,0.6637256199634075,-0.23673185437248398,9.013325850881342,1.9447197483660483,0.9447197483660484,163.0,54.0,0.35053763440860214,0.11612903225806452,False
QQQ,hybridL200_S10_eL3_eS3_xL2_xS2,0.10008025828383205,0.10704378781266846,0.1554328140490688,0.6907562705075717,0.6907562705075717,-0.25309242124180303,9.056041275624837,1.9974791842425013,0.9974791842425013,191.0,78.0,0.410752688172043,0.16774193548387098,False
