scenario,strategy,year,cal_year_return,ann_return,ann_vol,sharpe,max_dd,ulcer_index,exposure,entries,exits,avg_trade_days,median_trade_days
base,SMA150,2025,0.14027287499008412,0.18467791022878435,0.12447075312317327,1.2426847781319266,-0.08997759969753505,4.848049084020373,0.7272727272727273,2,1,68.0,68.0
base,SMA200,2012,0.11313185169020867,0.11764008093713889,0.13879655097540644,0.631428377155193,-0.11487151772715896,5.247426506726963,0.84,3,3,70.0,3.0
base,SMA200,2013,0.33605907087893994,0.2968584665680487,0.11819873097195906,2.2577100817720033,-0.05853823568723458,1.3492271417943988,0.9880952380952381,1,0,249.0,249.0
base,SMA200,2014,0.12971698282045097,0.13103258594287082,0.13452510350056496,0.7510314678363844,-0.08689513075027099,2.8743404015097687,0.9880952380952381,2,1,124.5,124.5
base,SMA200,2015,0.03295922183270372,0.042944726600471356,0.14505159815095894,0.08924221977202516,-0.10743628602075833,5.1863865131263305,0.8412698412698413,2,1,106.0,106.0
base,SMA200,2016,0.014753553037937905,0.018868735973051783,0.09203874264962587,-0.12094107010265057,-0.055054001121925496,2.2568368885032273,0.6309523809523809,4,3,39.75,17.0
base,SMA200,2017,0.32663555338675576,0.28924058408762254,0.10315909756772554,2.513017176380659,-0.048819361817442265,1.206727783317458,1.0,1,0,251.0,251.0
base,SMA200,2018,0.027377718802991113,0.0424238075360757,0.17466305731459872,0.0711301389491783,-0.15083937127435706,7.4350317247835935,0.8087649402390438,2,2,101.5,101.5
base,SMA200,2019,0.17254471170427998,0.16839099944633476,0.13534298300540745,1.0225206831801954,-0.08979134822128101,3.0124817654279092,0.8214285714285714,4,3,51.75,31.0
base,SMA200,2020,0.41594327714816637,0.37911451328804646,0.25432868635750483,1.372690270563121,-0.1831800399775176,8.333532577601677,0.9051383399209486,2,1,114.5,114.5
base,SMA200,2021,0.27419715702606173,0.2589816984349954,0.18218118217135468,1.2568899581495823,-0.10851539231447471,3.1514338595043148,1.0,1,0,252.0,252.0
base,SMA200,2022,-0.06468586345688832,-0.06554096568631235,0.05611904827300146,-1.7024694578128927,-0.09948208276217528,8.559191800675455,0.05179282868525897,1,1,13.0,13.0
base,SMA200,2023,0.2806922415990749,0.26236124869936356,0.16076041514353312,1.4453884589182135,-0.10779925137080684,3.612576434112258,0.9,2,1,112.5,112.5
base,SMA200,2024,0.255782614218087,0.2440482370517495,0.180071281751877,1.1886861412287268,-0.13557740239176252,3.771639709336737,1.0,1,0,252.0,252.0
base,SMA200,2025,0.11957044987185994,0.16062570493672382,0.12959136823903078,1.0079815246319896,-0.10649967174834356,5.911919583588985,0.7433155080213903,2,1,69.5,69.5
base,SMA220,2012,0.09897871857171436,0.10520732105634717,0.14213792055483387,0.5291151070929995,-0.11487151772715896,5.504137955557846,0.864,3,3,72.0,3.0
base,SMA220,2013,0.33605907087893994,0.2968584665680487,0.11819873097195906,2.2577100817720033,-0.05853823568723458,1.3492271417943988,0.9880952380952381,1,0,249.0,249.0
