ticker,variant,kind,note,start,end,observations,long_window,short_window,entry_days_long,entry_days_short,exit_days_long,exit_days_short,window,entry_days,exit_days,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
QQQM,sma200_3in_2out,single_sma,Plain 200-SMA control without the 20-SMA regime switch.,2020-10-13,2026-03-26,1369,,,,,,,200.0,3.0,2.0,0.11004301394580684,0.11360308559758377,0.13546343262862998,0.8386254754744341,0.8386254754744341,-0.1925504884905437,7.222891483521256,1.763235437948204,0.763235437948204
QQQM,baseline_buyhold,baseline,total return buy and hold,2020-10-13,2026-03-26,1369,,,,,,,,,,0.13788423161123076,0.15383090077560255,0.22216048431209384,0.6924314252011576,0.6924314252011576,-0.3504382644493456,12.985524647999524,2.0172282483591326,1.0172282483591326
SCHG,hybridL200_S20_eL2_eS2_xL2_xS1,hybrid,Best overall variant from hybridSMAtiming/v4.,2010-01-04,2026-03-26,4082,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.137148889979692,0.1417343386561774,0.16222936275554561,0.8736663711719621,0.8736663711719621,-0.3259969216098887,8.45526700016318,8.0195901841452,7.0195901841451995
SCHG,200SMA_3in_2out_hybrid20SMA,hybrid,Simpler remembered 3-day version from SMAtiming/v13.,2010-01-04,2026-03-26,4082,200.0,20.0,3.0,3.0,2.0,1.0,,,,0.13576614149916844,0.140300292019722,0.16089246644871222,0.8720128115162284,0.8720128115162284,-0.33111893765519007,8.596667672960033,7.863080228535994,6.863080228535994
SCHG,hybridL200_S20_eL3_eS2_xL2_xS1,hybrid,Close variant with a slower bull-regime entry.,2010-01-04,2026-03-26,4082,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.13426797550082048,0.13915739492925625,0.16198751228030053,0.8590624855603719,0.8590624855603719,-0.3259969216098898,8.684276064389639,7.696743482101753,6.696743482101753
SCHG,hybridL200_S20_eL2_eS2_xL1_xS1,hybrid,Near-tie full-span variant with a faster 200-SMA exit.,2010-01-04,2026-03-26,4082,200.0,20.0,2.0,2.0,1.0,1.0,,,,0.12909635562643995,0.13428901370199509,0.16013229442929486,0.8386129367632921,0.8386129367632921,-0.3545485894172629,9.425680170728427,7.147572863427773,6.147572863427773
SCHG,baseline_buyhold,baseline,total return buy and hold,2010-01-04,2026-03-26,4082,,,,,,,,,,0.15290577885138767,0.16196968072150822,0.19797707459730718,0.8181234168196527,0.8181234168196527,-0.34591279061844493,8.90341793907377,10.02216929752606,9.02216929752606
SCHG,sma200_3in_2out,single_sma,Plain 200-SMA control without the 20-SMA regime switch.,2010-01-04,2026-03-26,4082,,,,,,,200.0,3.0,2.0,0.11585333776848694,0.12188932070208393,0.15636807256895138,0.7795026100890011,0.7795026100890011,-0.3714239257467946,10.460662104258645,5.904181857520467,4.904181857520467
SPHQ,hybridL200_S20_eL2_eS2_xL1_xS1,hybrid,Near-tie full-span variant with a faster 200-SMA exit.,2005-12-06,2026-03-26,5107,200.0,20.0,2.0,2.0,1.0,1.0,,,,0.08784848472006979,0.09246820479451359,0.1283199912109593,0.7206063834784323,0.7206063834784323,-0.3215767179673495,10.618595152063028,5.509228387073628,4.509228387073628
SPHQ,hybridL200_S20_eL2_eS2_xL2_xS1,hybrid,Best overall variant from hybridSMAtiming/v4.,2005-12-06,2026-03-26,5107,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.08464799844117787,0.08969227049104923,0.12964903019125756,0.6918082638854736,0.6918082638854736,-0.31502186153217654,10.93705353428871,5.189896871313534,4.189896871313534
SPHQ,200SMA_3in_2out_hybrid20SMA,hybrid,Simpler remembered 3-day version from SMAtiming/v13.,2005-12-06,2026-03-26,5107,200.0,20.0,3.0,3.0,2.0,1.0,,,,0.08032425021788003,0.08542873009177157,0.12756866713304765,0.6696685950529979,0.6696685950529979,-0.2779450102402297,10.423729077574007,4.786340973126353,3.786340973126353
SPHQ,hybridL200_S20_eL3_eS2_xL2_xS1,hybrid,Close variant with a slower bull-regime entry.,2005-12-06,2026-03-26,5107,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.07975606132300261,0.0851123077302286,0.12919853924807978,0.6587714398751889,0.6587714398751889,-0.32450388978914896,12.25163606539858,4.7355824775169015,3.7355824775169015
SPHQ,sma200_3in_2out,single_sma,Plain 200-SMA control without the 20-SMA regime switch.,2005-12-06,2026-03-26,5107,,,,,,,200.0,3.0,2.0,0.0670973891163762,0.0721716004860041,0.11999371015125682,0.6014615299004336,0.6014615299004336,-0.21585910887032023,9.471978847850158,3.7288923344416323,2.7288923344416323
SPHQ,baseline_buyhold,baseline,total return buy and hold,2005-12-06,2026-03-26,5107,,,,,,,,,,0.09448816938680737,0.10886952529599281,0.19252645694123977,0.5654782569920791,0.5654782569920791,-0.5782946137372333,17.69117670941612,6.232274827073733,5.232274827073733
SPMO,200SMA_3in_2out_hybrid20SMA,hybrid,Simpler remembered 3-day version from SMAtiming/v13.,2015-10-12,2026-03-26,2629,200.0,20.0,3.0,3.0,2.0,1.0,,,,0.15474511154412718,0.15413692006255866,0.1427758607944477,1.0795726897032498,1.0795726897032498,-0.16943704377916916,6.197122776692061,4.4863076879864625,3.4863076879864625
