strategy,start,end,months,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,best_year,worst_year,monthly_win_rate,total_return,switches,exposure_ADX,exposure_IEF,exposure_KYN,exposure_NMZ,exposure_RQI,lookbacks,defensive_asset,exposure_TLT,exposure_SHY,exposure_BIL,exposure_SGOV,exposure_Cash
sens_cefs_12m_BIL,2007-02-28,2026-05-31,232,0.05958772332083018,0.0990436181984302,0.5021327802353717,0.64899236037954,-0.19191644744367853,0.31048784048755024,0.2410185452697431,-0.1458789354188934,0.6206896551724138,2.0618253241183853,114,0.19288793103448276,,0.16594827586206898,0.1411637931034483,0.16594827586206898,12,BIL,,,0.33405172413793105,,
sens_cefs_12m_SGOV,2007-02-28,2026-05-31,232,0.05764229778143792,0.09922898388890579,0.4827751794817213,0.63007797301867,-0.2012173551527342,0.2864678235020259,0.2410185452697431,-0.15106230880850313,0.5689655172413793,1.9549514267929284,114,0.19288793103448276,,0.16594827586206898,0.1411637931034483,0.16594827586206898,12,SGOV,,,,0.33405172413793105,
sens_cefs_12m_Cash,2007-02-28,2026-05-31,232,0.05395324037150395,0.09915879522520657,0.4476480260681414,0.588628889997579,-0.2012173551527342,0.26813412953644433,0.2410185452697431,-0.15106230880850313,0.5474137931034483,1.761929822509324,114,0.19288793103448276,,0.16594827586206898,0.1411637931034483,0.16594827586206898,12,Cash,,,,,0.33405172413793105
sens_cefs_3_7m_IEF,2006-09-30,2026-05-31,237,0.11168466730234394,0.10517029627935022,0.9397975104591378,1.56052258883663,-0.18016399247682113,0.6199055969339303,0.33041093567677615,-0.11352605409074978,0.6624472573839663,7.093510074245554,149,0.18459915611814345,0.32383966244725737,0.16561181434599156,0.16244725738396623,0.16350210970464135,3+7,IEF,,,,,
sens_cefs_3_7m_TLT,2006-09-30,2026-05-31,237,0.11132747726807302,0.12755762724533648,0.7925149977809374,1.2577713217328557,-0.29543577510904506,0.37682463211160583,0.2923446260140852,-0.2266032905204991,0.6329113924050633,7.042304876387222,149,0.18459915611814345,,0.16561181434599156,0.16244725738396623,0.16350210970464135,3+7,TLT,0.32383966244725737,,,,
sens_cefs_3_7m_SHY,2006-09-30,2026-05-31,237,0.1045745699704852,0.09918602547358579,0.9251309370482432,1.4387639931954956,-0.12173153997657404,0.8590589586775085,0.4077258452682606,-0.12173153997657404,0.6540084388185654,6.130205540893949,149,0.18459915611814345,,0.16561181434599156,0.16244725738396623,0.16350210970464135,3+7,SHY,,0.32383966244725737,,,
sens_cefs_3_7m_BIL,2006-09-30,2026-05-31,237,0.10130021187918259,0.09932330726419826,0.8938537861189861,1.369888360194192,-0.12427463715462927,0.8151318257573292,0.4154545824864406,-0.12421892523306566,0.6455696202531646,5.724159783538244,149,0.18459915611814345,,0.16561181434599156,0.16244725738396623,0.16350210970464135,3+7,BIL,,,0.32383966244725737,,
sens_cefs_3_7m_SGOV,2006-09-30,2026-05-31,237,0.09903579825254405,0.09960491511094438,0.8707806911286124,1.3509656602115003,-0.14455913771403062,0.685088468419467,0.4120435739880395,-0.13021861953761527,0.6033755274261603,5.456301659281163,149,0.18459915611814345,,0.16561181434599156,0.16244725738396623,0.16350210970464135,3+7,SGOV,,,,0.32383966244725737,
sens_cefs_3_7m_Cash,2006-09-30,2026-05-31,237,0.095636648711108,0.09975309428438321,0.8383341808805986,1.3129002450876521,-0.14455913771403062,0.6615745654231701,0.4120435739880395,-0.13021861953761527,0.5822784810126582,5.073155192231544,149,0.18459915611814345,,0.16561181434599156,0.16244725738396623,0.16350210970464135,3+7,Cash,,,,,0.32383966244725737
sens_cefs_3_12m_IEF,2007-02-28,2026-05-31,232,0.07564589323943194,0.10077191753101337,0.6447568206879825,1.0338033978374475,-0.15051744404838419,0.502572268069576,0.2580400791074451,-0.1284515229782296,0.6163793103448276,3.0951855736914666,141,0.18318965517241378,0.33620689655172414,0.16379310344827586,0.15086206896551724,0.16594827586206898,3+12,IEF,,,,,
