strategy,start,end,months,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,best_year,worst_year,monthly_win_rate,total_return,switches,exposure_ADX,exposure_IEF,exposure_KYN,exposure_NMZ,exposure_RQI,lookbacks,defensive_asset,exposure_TLT,exposure_SHY,exposure_BIL,exposure_SGOV,exposure_Cash
sens_cefs_3_12m_IEF,2021-07-31,2026-05-31,59,0.07526726925396465,0.1165078578658181,0.38970908953414585,0.7538390112640428,-0.15051735866030524,0.5000570693233557,0.25804019572505865,-0.12845179671145934,0.5932203389830508,0.42874841737885827,35,0.17796610169491525,0.3516949152542373,0.22033898305084745,0.1059322033898305,0.1440677966101695,3+12,IEF,,,,,
sens_cefs_3_12m_TLT,2021-07-31,2026-05-31,59,0.06048201517986751,0.14313570646547147,0.2438553556690049,0.46558454714240166,-0.2648434802348565,0.22836890349814762,0.26644348170424825,-0.21892447308278984,0.559322033898305,0.33472336390165713,35,0.17796610169491525,,0.22033898305084745,0.1059322033898305,0.1440677966101695,3+12,TLT,0.3516949152542373,,,,
sens_cefs_3_12m_SHY,2021-07-31,2026-05-31,59,0.08090315559619055,0.10303667616514554,0.47724798144052305,0.8536132928001763,-0.10488711497109626,0.7713355031119411,0.24947518808369096,-0.0810782077249349,0.5932203389830508,0.4659473010142301,35,0.17796610169491525,,0.22033898305084745,0.1059322033898305,0.1440677966101695,3+12,SHY,,0.3516949152542373,,,
sens_cefs_3_12m_BIL,2021-07-31,2026-05-31,59,0.08785565969629272,0.10123884090069864,0.5476422207786918,0.957856915059642,-0.08443177355855147,1.0405521048940998,0.24745525181623473,-0.05667589535017448,0.5932203389830508,0.5128949438483648,35,0.17796610169491525,,0.22033898305084745,0.1059322033898305,0.1440677966101695,3+12,BIL,,,0.3516949152542373,,
sens_cefs_3_12m_SGOV,2021-07-31,2026-05-31,59,0.08840949369044848,0.10120609333346375,0.5528517837524363,0.9663960619904207,-0.08441216383437655,1.0473549033041614,0.2475703901805324,-0.05567685966641889,0.6101694915254238,0.5166856564623563,35,0.17796610169491525,,0.22033898305084745,0.1059322033898305,0.1440677966101695,3+12,SGOV,,,,0.3516949152542373,
sens_cefs_3_12m_Cash,2021-07-31,2026-05-31,59,0.07429315126654767,0.10138594746016683,0.42242862705957857,0.7644034193034606,-0.08563189420063988,0.8675873862193805,0.24349532304487953,-0.06612270308392432,0.4915254237288136,0.4223958223350246,35,0.17796610169491525,,0.22033898305084745,0.1059322033898305,0.1440677966101695,3+12,Cash,,,,,0.3516949152542373
sens_cefs_6_12m_IEF,2021-07-31,2026-05-31,59,0.08543505669057416,0.11995045229534472,0.46072480676239463,0.9124355292635096,-0.13220138686601424,0.6462493224610599,0.24181319595622996,-0.10630119617200084,0.576271186440678,0.49641562118811255,31,0.1864406779661017,0.3305084745762712,0.2330508474576271,0.11440677966101695,0.13559322033898305,6+12,IEF,,,,,
sens_cefs_6_12m_TLT,2021-07-31,2026-05-31,59,0.06373883012155446,0.14279583051553751,0.2656261621635617,0.5077406648083265,-0.2510344350898185,0.25390472864310076,0.23359921396423933,-0.19940993643111826,0.5423728813559322,0.3549984948516509,31,0.1864406779661017,,0.2330508474576271,0.11440677966101695,0.13559322033898305,6+12,TLT,0.3305084745762712,,,,
sens_cefs_6_12m_SHY,2021-07-31,2026-05-31,59,0.10003460701689115,0.10667459938588751,0.6301321720076181,1.171754739365319,-0.06889110203937177,1.4520686134432956,0.25291472516282343,-0.04412474490341789,0.576271186440678,0.5980163270718399,31,0.1864406779661017,,0.2330508474576271,0.11440677966101695,0.13559322033898305,6+12,SHY,,0.3305084745762712,,,
sens_cefs_6_12m_BIL,2021-07-31,2026-05-31,59,0.10863792326936106,0.10471549375206711,0.7149547052287659,1.2762048553691243,-0.06801404186351812,1.5972866821730982,0.2583358909258622,-0.01534426560482216,0.5932203389830508,0.6604131903060781,31,0.1864406779661017,,0.2330508474576271,0.11440677966101695,0.13559322033898305,6+12,BIL,,,0.3305084745762712,,
sens_cefs_6_12m_SGOV,2021-07-31,2026-05-31,59,0.1091657743823522,0.10467022251927213,0.7198062597153774,1.2828759684213826,-0.06795545036643069,1.6064314752342366,0.2583892143818456,-0.014282681984721712,0.6101694915254238,0.6643037635161622,31,0.1864406779661017,,0.2330508474576271,0.11440677966101695,0.13559322033898305,6+12,SGOV,,,,0.3305084745762712,
sens_cefs_6_12m_Cash,2021-07-31,2026-05-31,59,0.09569200771250097,0.10503798010560243,0.6003246769737257,1.1135619062091702,-0.06882398030685499,1.390387584180014,0.2542869513827355,-0.0255675254205594,0.5254237288135594,0.5672385097666843,31,0.1864406779661017,,0.2330508474576271,0.11440677966101695,0.13559322033898305,6+12,Cash,,,,,0.3305084745762712
